,一共游戏场数,12590
1,达克莱伊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Savag3・,7,87.5%
,,T@i3!!,2,66.67%
,,VPS__,2,50.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗影球	潜灵奇袭	逃脱按键,4,80.0%,2
,,龙息		龙之舞	逃脱按键,3,75.0%,1
,,暗影球	龙之舞	攻击强化,3,60.0%,2
,,暗影球	潜灵奇袭	攻击强化,2,66.67%,3
,,龙息		潜灵奇袭	伤药	,1,100.0%,1
,,龙息		龙之舞	攻击强化,1,50.0%,2
,,龙息		潜灵奇袭	攻击强化,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,5,50.0%,6
,,充能坠饰	力量头带	连打围巾,7,87.5%,1
,,共鸣护盾	弱点保险	治愈王冠,2,66.67%,1
,,力量头带	能量增幅器	连打围巾,1,100.0%,1
65,水晶灯火灵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,11,0.14%,14,77.78%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OS・Sonic4D,4,100.0%
,,Player88090,3,100.0%
,,Mocchin,2,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,过热		封印		逃脱按键,7,77.78%,5
,,喷射火焰	封印		逃脱按键,4,80.0%,3
,,过热		灵骚		逃脱按键,2,66.67%,3
,,喷射火焰	灵骚		逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	穿透汤匙	讲究眼镜,4,66.67%,4
,,博识眼镜	穿透汤匙	讲究眼镜,4,66.67%,4
,,博识眼镜	咒术熏香	穿透汤匙,6,100.0%,3
65,黏美龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,10,0.14%,12,66.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,爽滑慢舔苍响,4,66.67%
,,たてねーず,2,100.0%
,,SSM_るる,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,浊流		酸液炸弹	伤药	,4,66.67%,1
,,浊流		强力鞭打	速度强化,3,60.0%,3
,,龙之波动	强力鞭打	伤药	,2,66.67%,2
,,浊流		酸液炸弹	逃脱按键,1,100.0%,1
,,龙之波动	酸液炸弹	伤药	,1,100.0%,1
,,龙之波动	酸液炸弹	逃脱按键,1,100.0%,1
,,龙之波动	酸液炸弹	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	气势头带	连打围巾,2,66.67%,2
,,共鸣护盾	学习装置	气势头带,4,66.67%,1
,,气势头带	连打围巾	锐利之爪,2,100.0%,1
,,亿奥斯饼干	气势头带	贝壳之铃,1,100.0%,1
,,共鸣护盾	穿透汤匙	贝壳之铃,1,100.0%,1
,,气势头带	穿透汤匙	进击眼镜,1,100.0%,1
,,共鸣护盾	气势头带	突击背心,1,50.0%,1
,,气势头带	穿透汤匙	连打围巾,0,0.0%,1
,,力量头带	气势头带	连打围巾,0,0.0%,1
67,古月鸟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,8,0.1%,11,84.62%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Mocchin,3,75.0%
,,OS・Sonic4D,2,100.0%
,,回国,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		暴风		逃脱按键,5,83.33%,4
,,潜水		暴风		逃脱按键,4,80.0%,3
,,潜水		空气之刃	逃脱按键,2,100.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	讲究眼镜,3,75.0%,3
,,博识眼镜	救援屏障	穿透汤匙,3,75.0%,1
,,咒术熏香	救援屏障	穿透汤匙,2,100.0%,1
,,博识眼镜	能量增幅器	讲究眼镜,1,100.0%,1
,,博识眼镜	咒术熏香	穿透汤匙,1,100.0%,1
,,博识眼镜	能量增幅器	贝壳之铃,1,100.0%,1
68,藏饱栗鼠,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,6,0.07%,6,66.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OS・Zycler,3,75.0%
,,XesoL-,1,100.0%
,,おにびのち,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,打嗝		渴望		向尾喵的尾巴,2,100.0%,2
,,种子机关枪	大快朵颐	得分加速装置,1,100.0%,1
,,种子机关枪	大快朵颐	伤药	,1,100.0%,1
,,种子机关枪	大快朵颐	逃脱按键,1,100.0%,1
,,种子机关枪	大快朵颐	速度强化,1,50.0%,2
,,种子机关枪	大快朵颐	向尾喵的尾巴,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,得分护盾	猛攻哑铃	轻石,3,75.0%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,1,100.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,学习装置	猛攻哑铃	轻石,0,0.0%,1
,,亿奥斯饼干	学习装置	猛攻哑铃,0,0.0%,1
69,拉普拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,6,0.06%,4,57.14%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ʂıƖƙ¿,1,100.0%
,,スロ辞めたい,1,100.0%
,,MarkGodS,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水之波动	冰冻光束	速度强化,2,100.0%,2
,,水之波动	冰冻光束	向尾喵的尾巴,1,100.0%,1
,,水之波动	泡沫光线	速度强化,1,50.0%,2
,,水之波动	泡沫光线	伤药	,0,0.0%,1
,,终焉之歌	冰冻光束	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	学习装置	气势头带,1,100.0%,1
,,学习装置	气势头带	穿透汤匙,1,100.0%,1
,,咒术熏香	气势头带	穿透汤匙,1,100.0%,1
,,咒术熏香	穿透汤匙	进击眼镜,1,50.0%,1
,,共鸣护盾	穿透汤匙	贝壳之铃,0,0.0%,1
,,博识眼镜	气势头带	穿透汤匙,0,0.0%,1
