,一共游戏场数,10436
1,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,博识眼镜	穿透汤匙	能量增幅器,1,33.33%,3
,,力量头带	能量增幅器	贝壳之铃,6,85.71%,1
,,气势头带	穿透汤匙	连打围巾,2,100.0%,1
,,气势头带	穿透汤匙	能量增幅器,1,100.0%,1
,,能量增幅器	讲究眼镜	贝壳之铃,1,100.0%,1
,,气势头带	穿透汤匙	讲究眼镜,1,100.0%,1
,,咒术熏香	气势头带	穿透汤匙,1,100.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,1,100.0%,1
,,咒术熏香	穿透汤匙	能量增幅器,1,100.0%,1
,,咒术熏香	贝壳之铃	轻石,1,50.0%,1
,,共鸣护盾	气势头带	连打围巾,0,0.0%,1
,,穿透汤匙	能量增幅器	进击眼镜,0,0.0%,1
64,拉普拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,13,0.24%,20,80.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,たくま,9,100.0%
,,Hologamit?,2,66.67%
,,펭큐보_,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水之波动	泡沫光线	速度强化,9,100.0%,3
,,水之波动	冰冻光束	速度强化,6,100.0%,4
,,终焉之歌	冰冻光束	速度强化,3,60.0%,4
,,终焉之歌	泡沫光线	逃脱按键,1,100.0%,1
,,终焉之歌	泡沫光线	速度强化,1,33.33%,2
,,水之波动	泡沫光线	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,1,25.0%,3
,,气势头带	穿透汤匙	进击眼镜,2,100.0%,2
,,学习装置	气势头带	穿透汤匙,2,66.67%,2
,,咒术熏香	学习装置	气势头带,9,100.0%,1
,,学习装置	气势头带	突击背心,2,66.67%,1
,,学习装置	气势头带	进击眼镜,1,100.0%,1
,,共鸣护盾	学习装置	救援屏障,1,100.0%,1
,,咒术熏香	气势头带	穿透汤匙,1,100.0%,1
,,亿奥斯饼干	气势头带	进击眼镜,1,100.0%,1
65,阿罗拉九尾,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,17,0.21%,17,77.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ʜappy,2,100.0%
,,Mendon'tCry,2,66.67%
,,AE_Shingdí,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,雪崩		暴风雪	逃脱按键,9,64.29%,10
,,魔法闪耀	极光幕	逃脱按键,4,100.0%,4
,,魔法闪耀	极光幕	攻击强化,3,100.0%,2
,,魔法闪耀	极光幕	伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,6,66.67%,5
,,博识眼镜	咒术熏香	穿透汤匙,0,0.0%,2
,,力量头带	学习装置	气势头带,2,100.0%,1
,,力量头带	咒术熏香	气势头带,1,100.0%,1
,,咒术熏香	学习装置	气势头带,1,100.0%,1
,,力量头带	救援屏障	连打围巾,1,100.0%,1
,,亿奥斯饼干	力量头带	连打围巾,1,100.0%,1
,,力量头带	穿透汤匙	连打围巾,1,100.0%,1
,,充能坠饰	进击眼镜	连打围巾,1,100.0%,1
,,力量头带	咒术熏香	连打围巾,1,100.0%,1
,,力量头带	气势头带	焦点镜,1,100.0%,1
,,博识眼镜	穿透汤匙	能量增幅器,1,100.0%,1
66,班基拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,14,0.19%,10,50.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,乡goodbyeash,2,66.67%
,,OXSSSMVP!,1,100.0%
,,PPRN,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,恶之波动	原始之力	速度强化,3,75.0%,4
,,尖石攻击	流沙深渊	万灵药,2,40.0%,3
,,尖石攻击	流沙深渊	伤药	,1,100.0%,1
,,恶之波动	流沙深渊	伤药	,1,100.0%,1
,,恶之波动	原始之力	逃脱按键,1,100.0%,1
,,恶之波动	流沙深渊	速度强化,1,50.0%,2
,,恶之波动	流沙深渊	万灵药,1,33.33%,3
,,恶之波动	原始之力	伤药	,0,0.0%,1
,,尖石攻击	流沙深渊	速度强化,0,0.0%,1
,,尖石攻击	流沙深渊	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,2,40.0%,3
,,亿奥斯饼干	弱点保险	猛攻哑铃,2,50.0%,2
,,共鸣护盾	弱点保险	气势头带,1,25.0%,2
,,共鸣护盾	弱点保险	锐利之爪,1,100.0%,1
,,咒术手镯	气势头带	连打围巾,1,100.0%,1
,,亿奥斯饼干	共鸣护盾	气势头带,1,100.0%,1
,,力量头带	气势头带	猛攻哑铃,1,100.0%,1
,,学习装置	气势头带	突击背心,1,100.0%,1
,,弱点保险	气势头带	锐利之爪,0,0.0%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,0,0.0%,1
66,仙子伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,12,0.19%,14,70.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Todorôki,5,83.33%
,,¡Rafael!,3,75.0%
,,TheMoneY$,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	吸取之吻	伤药	,6,85.71%,2
,,魔法火焰	吸取之吻	速度强化,3,100.0%,3
,,魔法火焰	吸取之吻	逃脱按键,3,60.0%,2
,,魔法火焰	吸取之吻	万灵药,1,100.0%,1
,,巨声		冥想		速度强化,1,100.0%,1
,,魔法火焰	吸取之吻	攻击强化,0,0.0%,1
,,巨声		冥想		逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	穿透汤匙	进击眼镜,2,100.0%,2
,,力量头带	气势头带	穿透汤匙,5,83.33%,1
,,力量头带	穿透汤匙	讲究眼镜,3,75.0%,1
,,亿奥斯饼干	讲究眼镜	进击眼镜,1,100.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,1,100.0%,1
,,咒术熏香	穿透汤匙	进击眼镜,1,100.0%,1
,,博识眼镜	咒术熏香	气势头带,1,100.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,0,0.0%,1
,,力量头带	咒术熏香	穿透汤匙,0,0.0%,1
,,咒术熏香	穿透汤匙	讲究眼镜,0,0.0%,1
,,博识眼镜	穿透汤匙	能量增幅器,0,0.0%,1
68,妖火红狐,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,12,0.14%,11,73.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TheMoneY$,3,100.0%
,,Valecya,2,100.0%
,,SAHILGODyt,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,大字爆炎	火焰旋涡	逃脱按键,6,85.71%,5
,,魔法火焰	火焰旋涡	逃脱按键,3,100.0%,2
,,魔法火焰	蓄能焰袭	万灵药,1,100.0%,1
,,大字爆炎	火焰旋涡	速度强化,1,50.0%,2
,,魔法火焰	蓄能焰袭	逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	贝壳之铃,1,25.0%,4
,,咒术熏香	穿透汤匙	能量增幅器,2,100.0%,2
,,博识眼镜	穿透汤匙	讲究眼镜,1,50.0%,2
,,咒术熏香	能量增幅器	贝壳之铃,3,100.0%,1
,,穿透汤匙	能量增幅器	讲究眼镜,2,100.0%,1
,,博识眼镜	咒术熏香	穿透汤匙,1,100.0%,1
,,咒术熏香	能量增幅器	讲究眼镜,1,100.0%,1
69,伽勒尔烈焰马,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,9,0.1%,5,50.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Todorôki,1,100.0%
,,GarchomponlY,1,100.0%
,,ŁîgeŘ(+_+),1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法闪耀	高速移动	万灵药,2,66.67%,3
,,魔法闪耀	高速移动	速度强化,1,100.0%,1
,,魔法闪耀	高速移动	得分加速装置,1,100.0%,1
,,魔法闪耀	修长之角	速度强化,1,50.0%,2
,,妖精之风	修长之角	万灵药,0,0.0%,2
,,魔法闪耀	修长之角	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	讲究眼镜	进击眼镜,1,50.0%,2
,,博识眼镜	穿透汤匙	进击眼镜,1,100.0%,1
,,穿透汤匙	贝壳之铃	进击眼镜,1,100.0%,1
,,亿奥斯饼干	得分护盾	穿透汤匙,1,100.0%,1
,,学习装置	讲究眼镜	进击眼镜,1,100.0%,1
,,充能坠饰	轻石	进击眼镜,0,0.0%,1
,,学习装置	得分护盾	轻石,0,0.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,0,0.0%,1
70,铝钢龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,4,0.09%,6,66.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,§ZIAKAN§,4,80.0%
,,魔王アイス,1,100.0%
,,Ĵ£ŁØŞĄツ,1,50.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,加农光炮	隐形岩	逃脱按键,3,75.0%,1
,,龙之波动	隐形岩	逃脱按键,2,66.67%,2
,,加农光炮	龙尾		逃脱按键,1,100.0%,1
,,龙之波动	隐形岩	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	连打围巾	锐利之爪,4,80.0%,1
,,力量头带	焦点镜	连打围巾,1,100.0%,1
,,力量头带	焦点镜	猛攻哑铃,1,50.0%,1
,,焦点镜	能量增幅器	连打围巾,0,0.0%,1
70,水晶灯火灵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,7,0.09%,3,33.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SLightlYy藻,1,100.0%
,,BrоteinShake,1,100.0%
,,*水風呂,1,33.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,过热		灵骚		逃脱按键,2,66.67%,2
,,喷射火焰	封印		逃脱按键,1,33.33%,3
,,过热		封印		逃脱按键,0,0.0%,2
,,喷射火焰	灵骚		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	穿透汤匙	讲究眼镜,3,37.5%,6
,,博识眼镜	穿透汤匙	讲究眼镜,0,0.0%,1
72,列阵兵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,1,0.01%,1,100.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,FL_ɑяɑмɑкɪ¿,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,超级角击	围攻		攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,1,100.0%,1
