,一共游戏场数,11327
1,可达鸭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,力量头带	治愈王冠	连打围巾,1,100.0%,1
,,力量头带	弱点保险	气势头带,0,0.0%,1
,,力量头带	弱点保险	焦点镜,0,0.0%,1
64,喷火龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,10,0.19%,16,72.73%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,大沼三太郎,3,100.0%
,,RúxenDenhard,3,100.0%
,,LG·Kyojiro,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷射火焰	大字爆炎	攻击强化,6,66.67%,3
,,火焰拳	大字爆炎	攻击强化,3,100.0%,1
,,火焰拳	闪焰冲锋	逃脱按键,2,100.0%,1
,,喷射火焰	大字爆炎	速度强化,2,40.0%,4
,,喷射火焰	大字爆炎	万灵药,1,100.0%,1
,,喷射火焰	大字爆炎	逃脱按键,1,100.0%,1
,,火焰拳	闪焰冲锋	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术手镯	焦点镜	猛攻哑铃,7,100.0%,3
,,焦点镜	猛攻哑铃	能量增幅器,2,100.0%,2
,,弱点保险	焦点镜	猛攻哑铃,2,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,2,100.0%,1
,,焦点镜	轻石	锐利之爪,2,28.57%,1
,,力量头带	焦点镜	能量增幅器,1,100.0%,1
,,气势头带	焦点镜	猛攻哑铃,0,0.0%,1
65,古月鸟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,12,0.17%,17,89.47%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,KisColourKi,6,100.0%
,,HailRoarixZ,2,100.0%
,,燐廻転生餅魂,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		暴风		逃脱按键,10,100.0%,4
,,潜水		暴风		逃脱按键,4,100.0%,3
,,潜水		空气之刃	逃脱按键,2,50.0%,4
,,潜水		暴风		攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	讲究眼镜,4,66.67%,4
,,博识眼镜	穿透汤匙	能量增幅器,2,100.0%,2
,,咒术熏香	能量增幅器	讲究眼镜,6,100.0%,1
,,咒术熏香	穿透汤匙	能量增幅器,1,100.0%,1
,,咒术熏香	穿透汤匙	讲究眼镜,1,100.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,1,100.0%,1
,,救援屏障	能量增幅器	讲究眼镜,1,100.0%,1
,,穿透汤匙	讲究眼镜	进击眼镜,1,100.0%,1
66,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,12,0.13%,11,73.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,FakeGoLDeN,4,100.0%
,,overtrollYT,1,100.0%
,,XV893,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,念力		屏障		速度强化,8,66.67%,9
,,念力		屏障		逃脱按键,1,100.0%,1
,,念力		力量互换	伤药	,1,100.0%,1
,,精神强念	力量互换	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	讲究眼镜	进击眼镜,2,100.0%,2
,,学习装置	气势头带	讲究眼镜,1,50.0%,2
,,学习装置	气势头带	进击眼镜,0,0.0%,2
,,博识眼镜	学习装置	穿透汤匙,4,100.0%,1
,,学习装置	气势头带	穿透汤匙,1,100.0%,1
,,共鸣护盾	学习装置	进击眼镜,1,100.0%,1
,,学习装置	穿透汤匙	讲究眼镜,1,100.0%,1
,,共鸣护盾	学习装置	气势头带,1,100.0%,1
,,穿透汤匙	讲究眼镜	进击眼镜,0,0.0%,1
67,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,7,0.12%,10,71.43%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ไวน์ลดา.,6,85.71%
,,Soloing,1,100.0%
,,Ӽaţaga勇,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神击破	自我再生	伤药	,7,87.5%,2
,,精神击破	自我再生	速度强化,1,100.0%,1
,,预知未来	自我再生	万灵药,1,100.0%,1
,,预知未来	瞬间移动	伤药	,1,100.0%,1
,,预知未来	自我再生	伤药	,0,0.0%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,1,50.0%,2
,,亿奥斯饼干	气势头带	猛攻哑铃,6,85.71%,1
,,力量头带	弱点保险	气势头带,1,100.0%,1
,,力量头带	气势头带	连打围巾,1,100.0%,1
,,力量头带	弱点保险	连打围巾,1,50.0%,1
,,亿奥斯饼干	学习装置	气势头带,0,0.0%,1
68,列阵兵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,8,0.08%,6,66.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MelodyyNopro,1,100.0%
,,BTSかぴお,1,100.0%
,,YASHRANGERA,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,铁头		围攻		速度强化,3,75.0%,4
,,超级角击	背水一战	速度强化,1,100.0%,1
,,超级角击	背水一战	伤药	,1,100.0%,1
,,铁头		围攻		万灵药,1,100.0%,1
,,超级角击	背水一战	逃脱按键,0,0.0%,1
,,铁头		围攻		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,5,71.43%,6
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,0,0.0%,1
69,铝钢龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,5,0.06%,4,57.14%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,巨大MAX渡寛,2,100.0%
,,・Kinğ・,1,100.0%
,,まなわはくと,1,50.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之波动	隐形岩	攻击强化,2,100.0%,1
,,龙之波动	隐形岩	向尾喵的尾巴,1,50.0%,1
,,加农光炮	龙尾		逃脱按键,1,50.0%,2
,,龙之波动	隐形岩	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,1,50.0%,2
,,焦点镜	猛攻哑铃	连打围巾,2,100.0%,1
,,力量头带	猛攻哑铃	连打围巾,1,50.0%,1
,,焦点镜	连打围巾	锐利之爪,0,0.0%,1
